Governorate;Camp Name;household;men;women;boys;girls;individual;Camp Management;Shelter;NFIs;Water;Sanitation;Waste removal;Health;Food;Livelihood;Protection;Education;Geo
Ninewa;Hamam Al Alil 1;3841;3268;4606;5468;3268;19100;2. Medium;1. Low;0. No;3. High;2. Medium;0. No;0. No;1. Low;1. Low;1. Low;2. Medium;36.158681,43.252498
Ninewa;Hamam Al Alil 2;4070;3124;4863;6443;3124;20879;2. Medium;1. Low;0. No;2. Medium;1. Low;2. Medium;1. Low;2. Medium;1. Low;1. Low;1. Low;36.15132,43.2427
Sulaymaniyah;Surdesh;372;444;436;419;444;1688;2. Medium;2. Medium;0. No;1. Low;0. No;0. No;0. No;2. Medium;2. Medium;2. Medium;4. Very high;35.853415,45.093014
Anbar;Bzebiez White camp (Al-Abeadh);86;229;174;136;229;619;3. High;2. Medium;3. High;3. High;2. Medium;0. No;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;33.143969,44.019061
Anbar;Bzebize IDP District  3;131;172;168;235;172;735;3. High;1. Low;3. High;2. Medium;2. Medium;2. Medium;3. High;2. Medium;2. Medium;3. High;2. Medium;33.143,44.02
Anbar;Al-Amirya - Albu Jwad;319;487;341;341;487;1569;3. High;2. Medium;3. High;3. High;4. Very high;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;1. Low;33.14891935,43.99069786
Anbar;Al-Ikhowa (AAF03);114;298;189;92;298;715;3. High;1. Low;3. High;2. Medium;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;4. Very high;33.1488526900798,43.8456313801596
Anbar;Al-Sa'ada camp (AAF08);208;180;210;100;180;598;3. High;1. Low;2. Medium;2. Medium;1. Low;2. Medium;3. High;2. Medium;3. High;2. Medium;3. High;33.1453143603005,43.8506160105078
Anbar;Baghdad camp (AAF15);87;93;86;87;93;402;3. High;2. Medium;4. Very high;3. High;2. Medium;0. No;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;33.1407655603084,43.8530131832003
Anbar;Kiram Al Fallujah Camp (AAF16);150;145;179;176;145;687;3. High;1. Low;2. Medium;3. High;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;3. High;3. High;33.1392474015203,43.850315920606
